Density	AverageEnergy
1.000e+08	1.795e+09
1.526e+08	7.519e+08
2.330e+08	3.300e+08
3.556e+08	1.388e+08
5.429e+08	5.896e+07
8.286e+08	2.579e+07
1.265e+09	1.103e+07
1.931e+09	4.776e+06
2.947e+09	2.029e+06
4.498e+09	8.763e+05
6.866e+09	3.670e+05
1.048e+10	1.574e+05
1.600e+10	6.951e+04
2.442e+10	3.017e+04
3.728e+10	1.287e+04
5.690e+10	5.595e+03
8.685e+10	2.381e+03
1.326e+11	1.062e+03
2.024e+11	4.724e+02
3.089e+11	2.179e+02
4.715e+11	1.038e+02
7.197e+11	5.008e+01
1.099e+12	2.618e+01
1.677e+12	1.445e+01
2.560e+12	8.670e+00
3.907e+12	5.374e+00
5.964e+12	3.410e+00
9.103e+12	2.039e+00
1.389e+13	1.070e+00
2.121e+13	4.447e-01
3.237e+13	1.199e-01
4.942e+13	1.793e-02
7.543e+13	3.519e-04
1.151e+14	2.843e-26
1.758e+14	2.843e-26
2.683e+14	2.843e-26
4.095e+14	2.843e-26
6.251e+14	2.843e-26
9.541e+14	2.843e-26
1.456e+15	2.843e-26
2.223e+15	2.843e-26
3.393e+15	2.843e-26
5.179e+15	0.000e+00
7.906e+15	0.000e+00
1.207e+16	0.000e+00
1.842e+16	0.000e+00
2.812e+16	0.000e+00
4.292e+16	0.000e+00
6.551e+16	0.000e+00
1.000e+17	0.000e+00
