Density	AveragePotentialEnergy
1.000e+08	-1.200e+02
1.526e+08	-1.200e+02
2.330e+08	-1.200e+02
3.556e+08	-1.200e+02
5.429e+08	-1.200e+02
8.286e+08	-1.200e+02
1.265e+09	-1.200e+02
1.931e+09	-1.200e+02
2.947e+09	-1.200e+02
4.498e+09	-1.200e+02
6.866e+09	-1.200e+02
1.048e+10	-1.200e+02
1.600e+10	-1.200e+02
2.442e+10	-1.200e+02
3.728e+10	-1.200e+02
5.690e+10	-1.200e+02
8.685e+10	-1.200e+02
1.326e+11	-1.200e+02
2.024e+11	-1.200e+02
3.089e+11	-1.200e+02
4.715e+11	-1.200e+02
7.197e+11	-1.200e+02
1.099e+12	-1.200e+02
1.677e+12	-1.200e+02
2.560e+12	-1.200e+02
3.907e+12	-1.200e+02
5.964e+12	-1.200e+02
9.103e+12	-1.200e+02
1.389e+13	-1.200e+02
2.121e+13	-1.200e+02
3.237e+13	-1.200e+02
4.942e+13	-1.200e+02
7.543e+13	-1.200e+02
1.151e+14	-1.200e+02
1.758e+14	-1.200e+02
2.683e+14	-1.200e+02
4.095e+14	-1.200e+02
6.251e+14	-1.200e+02
9.541e+14	-1.200e+02
1.456e+15	-1.200e+02
2.223e+15	-1.200e+02
3.393e+15	-1.200e+02
5.179e+15	0.000e+00
7.906e+15	0.000e+00
1.207e+16	0.000e+00
1.842e+16	0.000e+00
2.812e+16	0.000e+00
4.292e+16	0.000e+00
6.551e+16	0.000e+00
1.000e+17	0.000e+00
