T	U	Steps
0.00010623038192948015	-19.520675091428895	3
0.00012121088644066223	-19.588778865726734	2
0.00013541972846413066	-19.53955409689458	3
0.0001144367325368267	-19.517230480181865	2
0.00010076959599431079	-19.522443972128073	2
0.0001197092111499586	-19.684246662746283	3
0.00012902157658342082	-19.64848657992947	3
0.0001277760307203849	-19.52410669644586	2
0.00011973158604214799	-19.590452950098992	3
0.00013759149953770575	-19.78109671140933	5
0.00010163269185668459	-19.505887514908274	3
0.00016444646706285148	-19.56205151891097	3
