T	U	Steps
0.0011911585767318841	-22.955013767551126	1
0.0009314333803182426	-20.52338433302466	16
0.0011641207999134318	-22.81983575878198	1
0.000678977601886416	-17.415795047174523	9
0.0011887730108607862	-22.943086897734574	1
0.0011959164510001485	-22.978801225147087	1
0.0006899642525090173	-17.156433917192167	20
0.0007149314527147854	-17.267609978651734	15
0.0006654861356591971	-17.3633037143714	23
0.000962911234876425	-18.996712166031656	18
0.0011722312710535777	-22.86038485223246	1
0.0005947951083321502	-17.000081173423748	9
0.0006720651816198329	-17.394654789460485	11
0.001104796957131834	-22.52324040652368	1
0.0010509307421267453	-22.10688440773608	2
0.0010347507563929989	-17.84919042279968	11
0.0007494822711122585	-18.22429789775134	9
0.000911472375398793	-17.397362751187778	4
0.0011065072202974834	-20.34877820627746	8
0.001155809819434784	-22.778284199289264	1
0.0011616964351742376	-22.540399794523037	3
0.0011786844306139045	-22.89264805439926	1
0.0011991137820000586	-22.994786594093867	1
0.0008857889189639856	-19.092182280559545	23
0.001190933962759076	-22.953890788032883	1
0.0011512748532082468	-22.65776216424398	2
0.0010581452538648065	-21.79888212317975	16
0.0011968438638112692	-22.983437916172242	1
0.0009001979176591755	-18.801351536867664	16
0.0009097945884226904	-20.964779867683777	9
0.0006825337866655785	-17.229413278857976	3
0.0007578558825390318	-18.279359405383044	13
0.0010578188527440111	-19.01315639214352	5
0.001162540464251859	-17.769937534856787	3
0.0011421181634407246	-22.709831426472306	1
0.0011422207337314152	-21.31625483628301	9
0.0010632953819965866	-22.081751863996466	11
0.0011426977240712828	-22.71272899651018	1
0.0010084178503136222	-21.31643465233193	6
0.001121610919178596	-22.60730345372844	1
0.0011592872800606868	-22.64079929998009	2
0.0011737217471108384	-22.86783663300909	1
0.0011211026135225176	-22.604762129902294	1
0.0009868908612117272	-20.83876643810615	5
0.0006881085407105522	-17.489715919634378	9
0.0011507658447335166	-22.557325347109416	7
0.000979589084997395	-21.037933446318252	5
0.0006288843345676785	-17.04145539687572	10
0.0007102652582110296	-17.978398742148745	8
0.0006643117970885424	-17.10094293239587	4
0.001197319330947845	-22.98581506060941	1
0.000597960267975436	-17.00798140291354	27
0.0007864642467695797	-17.68493390282333	15
0.0011298766196872227	-21.929859337496566	3
0.0010533921913023268	-22.141603643473065	2
0.0011692093936327092	-22.84527668060872	1
0.0010089989598765202	-21.46167026751939	3
0.000813087893856544	-19.843151736711047	6
0.000659550471870791	-17.557261307951155	12
0.000645935129198142	-17.43470573983344	11
0.00120011740209186	-22.9998042908698	1
0.0007341041227986112	-17.06792446083344	22
0.0006523326287009562	-17.403853581481115	8
0.0011558869576379094	-22.77866985927782	1
0.0007201263581398385	-17.901728305941404	8
0.000595439993746028	-17.016587237822996	4
0.0011427305674751264	-22.71289320031889	1
0.001179771738067809	-22.898084154324394	1
0.001042624151107103	-21.46100227930791	2
0.0011933569185591496	-22.966004592455075	1
0.001198994561952573	-22.99419054180996	1
0.0011959472340174796	-22.97895512785198	1
0.0010550840826158486	-19.407082645471306	13
0.0010242594228050718	-20.908501610606663	5
0.0006557897470751602	-17.148718181108904	8
0.000833803008527659	-19.44208341657475	11
0.0011982423025521487	-22.990429547386857	1
0.0011717059944481411	-22.857758680485695	1
0.0011487833670421489	-22.74315476355476	1
0.0006132425473748927	-17.295981024027135	7
0.0008963906145550122	-20.1448334078811	2
0.0008844976245637455	-17.00332734480752	10
0.0007910089081587466	-17.126207750969904	12
0.0008244559665090734	-19.228978435987816	9
0.0010814505049528012	-21.991030820099255	3
0.0011629413713726223	-22.81393909047591	1
0.0011448007944400299	-22.57141026963621	5
0.0008693592677306874	-18.207239014065756	13
0.000905499750902674	-19.472028450737593	7
0.001179824084711423	-22.898345866487237	1
0.0009341683074373719	-20.497503225926916	13
0.0006780397961206593	-17.090073728059856	11
0.0011937111504746966	-22.96777560955118	1
0.0010876350089071107	-17.806884933521072	10
0.0008857823541525151	-18.907417131317576	6
0.0006868820669033563	-17.388344640041616	13
0.0006607475138972633	-17.613730900332406	7
0.000843516514672879	-17.153456649208135	8
0.00102187373919593	-20.45258050233211	3
0.0006993179120127005	-17.24234101871441	15
0.0011836562671017016	-22.917505237031506	1
0.0008892716645595284	-20.06616520148488	14
0.0009560297187169632	-20.669831929707982	44
0.001098590402978078	-22.212896409327005	6
0.001164964867376975	-22.824055756592998	1
0.0007606206410377121	-18.48616704399603	2
0.0010571241318777836	-21.57231484546161	4
0.0006922571863910497	-17.968271369289113	2
0.000978508993829058	-19.370555413484947	34
0.0006392711213207971	-17.62446614888589	6
0.001180403717558661	-22.901243797579458	1
0.0011691808457827487	-22.845133952841632	1
0.0009817351347854684	-21.842352532526927	2
0.0011746493405383075	-22.872474227043337	1
0.0010597396492709882	-19.063845317424285	6
0.0008524837801989391	-17.230374825100835	15
0.0011859801189729705	-22.929123561671947	1
0.0011991960744934817	-22.99519802346072	1
0.000841583040408938	-17.803056561654333	3
0.0011998444423407344	-22.99843960190595	1
0.001139450278868715	-22.508216903721905	7
0.0006051933133544146	-17.321280620492743	5
0.0011874437375143422	-22.93644106567195	1
0.0009407578892924246	-18.54311915117134	6
0.000715227114691989	-18.044821007210537	37
0.0011338983313633616	-22.668735572323666	1
0.0008439278777016878	-18.977557970765854	21
0.0011707617519864425	-22.853037847976985	1
0.0007867132376145624	-17.726563323073897	8
0.0011719724260163776	-22.85909073116091	1
0.0010136371826262038	-19.453243663684262	4
0.0007724620620411089	-18.649743462585526	6
0.0011795082687750741	-22.896766913835176	1
0.0011537303230357739	-22.76788755372375	1
0.0007266148462570985	-18.102822214514866	4
0.001015669230962973	-21.276256182986227	5
0.0008436784385308249	-18.616196172442855	4
0.0009634571481475912	-18.65058606946953	5
0.0010551046787411675	-18.63007099441381	11
0.0007083702605891497	-17.57354974316175	9
0.001156267981993378	-22.780574827796894	1
0.0011975201073443015	-22.986818861834013	1
0.0011850757967766853	-22.919327802854	2
0.0006705791105994253	-17.685924445159575	48
0.001139633543427513	-17.071171695153794	12
0.0006479814205961356	-17.551046234183037	9
0.0011682325711441929	-22.840392961070496	1
0.0009962954529158519	-20.96283113921835	3
0.0011705046955273002	-22.85175266907632	1
0.0011569182282122462	-22.783825797344665	1
0.0007380240595540579	-17.990858365148775	16
0.0010512458716728714	-22.255506518919855	1
0.0011764333879813135	-21.161471339864768	4
0.001017671943017796	-20.169524780870116	3
0.001132414945637322	-22.66131924035121	1
0.0008100769120189036	-17.44491271755522	6
0.0011591517812513097	-22.355595013316155	2
0.0009937215634440342	-20.517386549676548	5
0.0010506988569160135	-21.66253610873567	5
0.0009039370354283234	-17.484517878159373	12
0.0007095190482806763	-18.518469825889337	7
0.0006530270388574105	-17.542508202020304	6
0.000663054509975006	-18.222315080000914	8
0.0009410536610020116	-20.29700382603463	5
0.0010457371138212434	-19.46834854514149	3
0.0011696209055987795	-22.847334074917864	1
0.0009294469516045367	-20.364701760614544	6
0.0009305213705056853	-18.78022360107882	17
