T	U	Steps
0.0008288241969724052	-17.397770491659358	6
0.0008911809991956884	-18.444390760145023	3
0.0011788795446065806	-22.893623545882527	1
0.00100053201282601	-22.001957623167463	1
0.001158259894481922	-22.12050140172767	2
0.0009805199020575714	-18.987639945078513	4
0.0011787302198593781	-22.892876982208957	1
0.0006919853599267221	-17.658716137987266	2
0.0008169246701308636	-17.299880723777093	9
0.0011589301776248945	-22.793884735147586	1
0.0007943987373997011	-19.076388405408125	4
0.0008333866576502718	-17.328941171016158	4
0.0011941714914281486	-22.97007712915689	1
0.0011323891524983947	-22.661190285031278	1
0.0006292892170210504	-17.166164762382888	6
0.001110096623447874	-22.395479037442627	1
0.0011217855496336907	-22.608176535762833	1
0.000675846503340068	-17.781237727708834	7
0.0010614344287229703	-22.138502086317462	2
0.0011600973788648088	-22.671784425099503	2
0.000588543190087794	-17.010419322063065	2
0.0010403920374093562	-21.480306292609075	11
0.0011264637197381281	-22.631565504598825	1
0.0009287834974097215	-17.811495663213822	2
0.0010565222975359619	-21.943546081249224	4
0.0006961890280356647	-17.66252692674548	6
0.0007435482568852187	-18.538453540143504	6
0.0011949863365707766	-22.974151027117337	1
0.0011454359094835458	-22.726418822199467	1
0.0011251343481035383	-22.624919181135002	1
0.0006590444695674543	-17.209284514079467	2
0.0011172762388826575	-22.202324588634287	4
0.000629144253395674	-17.108497900950148	3
0.0011331650987556976	-19.578654649010083	4
0.0011807961827882245	-22.903205965867173	1
0.0010487097778776769	-21.785570688997744	5
0.0011162666769451554	-21.542578779972008	6
0.0007834885581925714	-17.052452028625723	3
0.0011785605859585915	-22.892028880936355	1
0.0011959069927827992	-22.978753937864692	1
