Density	PercentThrough	AvgT	AvgU	AvgCollisions
1.000e+15	1.000e+00	1.085e-01	-2.429e+01	1.130e+00
1.438e+15	1.000e+00	2.034e-02	-2.121e+01	1.332e+00
2.069e+15	1.000e+00	6.164e-03	-2.083e+01	1.506e+00
2.976e+15	1.000e+00	3.334e-03	-2.066e+01	1.865e+00
4.281e+15	1.000e+00	4.900e-04	-2.041e+01	2.473e+00
6.158e+15	1.000e+00	4.847e-04	-2.027e+01	3.880e+00
8.859e+15	1.000e+00	4.831e-04	-2.018e+01	5.975e+00
1.274e+16	1.000e+00	4.697e-04	-2.004e+01	1.110e+01
1.833e+16	1.000e+00	4.500e-04	-1.986e+01	2.119e+01
2.637e+16	1.000e+00	4.398e-04	-1.981e+01	4.161e+01
3.793e+16	9.980e-01	4.298e-04	-1.973e+01	8.496e+01
5.456e+16	9.970e-01	4.208e-04	-1.967e+01	1.696e+02
7.848e+16	9.650e-01	4.164e-04	-1.964e+01	3.597e+02
1.129e+17	8.750e-01	4.193e-04	-1.969e+01	6.310e+02
1.624e+17	7.620e-01	4.304e-04	-1.983e+01	1.130e+03
2.336e+17	6.460e-01	4.418e-04	-1.997e+01	1.899e+03
