Density	PercentThrough
1.000e+08	1.000e+00
1.526e+08	1.000e+00
2.330e+08	1.000e+00
3.556e+08	1.000e+00
5.429e+08	1.000e+00
8.286e+08	1.000e+00
1.265e+09	1.000e+00
1.931e+09	9.997e-01
2.947e+09	9.999e-01
4.498e+09	9.996e-01
6.866e+09	9.999e-01
1.048e+10	9.992e-01
1.600e+10	9.989e-01
2.442e+10	9.986e-01
3.728e+10	9.979e-01
5.690e+10	9.963e-01
8.685e+10	9.956e-01
1.326e+11	9.924e-01
2.024e+11	9.888e-01
3.089e+11	9.802e-01
4.715e+11	9.716e-01
7.197e+11	9.589e-01
1.099e+12	9.366e-01
1.677e+12	9.048e-01
2.560e+12	8.596e-01
3.907e+12	7.964e-01
5.964e+12	7.087e-01
9.103e+12	5.914e-01
1.389e+13	4.413e-01
2.121e+13	2.970e-01
3.237e+13	1.506e-01
4.942e+13	5.677e-02
7.543e+13	1.227e-02
1.151e+14	1.100e-03
1.758e+14	0.000e+00
2.683e+14	0.000e+00
4.095e+14	0.000e+00
6.251e+14	0.000e+00
9.541e+14	0.000e+00
1.456e+15	0.000e+00
2.223e+15	0.000e+00
3.393e+15	0.000e+00
5.179e+15	0.000e+00
7.906e+15	0.000e+00
1.207e+16	6.667e-05
1.842e+16	0.000e+00
2.812e+16	0.000e+00
4.292e+16	6.667e-05
6.551e+16	3.333e-05
1.000e+17	3.333e-05
