Density	AverageEnergy
1.000e+08	1.000e+00
1.526e+08	1.000e+00
2.330e+08	1.000e+00
3.556e+08	1.000e+00
5.429e+08	1.000e+00
8.286e+08	1.000e+00
1.265e+09	1.000e+00
1.931e+09	1.000e+00
2.947e+09	1.000e+00
4.498e+09	1.000e+00
6.866e+09	1.000e+00
1.048e+10	1.000e+00
1.600e+10	1.000e+00
2.442e+10	1.000e+00
3.728e+10	9.999e-01
5.690e+10	9.998e-01
8.685e+10	9.998e-01
1.326e+11	9.996e-01
2.024e+11	9.993e-01
3.089e+11	9.988e-01
4.715e+11	9.983e-01
7.197e+11	9.976e-01
1.099e+12	9.967e-01
1.677e+12	9.961e-01
2.560e+12	9.921e-01
3.907e+12	9.869e-01
5.964e+12	9.835e-01
9.103e+12	9.722e-01
1.389e+13	9.583e-01
2.121e+13	9.386e-01
3.237e+13	9.072e-01
4.942e+13	8.626e-01
7.543e+13	7.977e-01
1.151e+14	7.113e-01
1.758e+14	5.933e-01
2.683e+14	4.506e-01
4.095e+14	2.971e-01
6.251e+14	1.524e-01
9.541e+14	5.760e-02
1.456e+15	1.113e-02
2.223e+15	1.233e-03
3.393e+15	0.000e+00
5.179e+15	3.333e-05
7.906e+15	0.000e+00
1.207e+16	0.000e+00
1.842e+16	0.000e+00
2.812e+16	0.000e+00
4.292e+16	0.000e+00
6.551e+16	0.000e+00
1.000e+17	0.000e+00
