Density	PercentThrough
1.000e+08	1.333e-04
1.526e+08	1.000e-04
2.330e+08	2.667e-04
3.556e+08	3.000e-04
5.429e+08	5.333e-04
8.286e+08	1.133e-03
1.265e+09	1.367e-03
1.931e+09	2.200e-03
2.947e+09	3.600e-03
4.498e+09	5.133e-03
6.866e+09	8.000e-03
1.048e+10	1.107e-02
1.600e+10	1.723e-02
2.442e+10	2.747e-02
3.728e+10	4.037e-02
5.690e+10	6.123e-02
8.685e+10	9.453e-02
1.326e+11	1.398e-01
2.024e+11	2.049e-01
3.089e+11	2.901e-01
4.715e+11	4.099e-01
7.197e+11	5.449e-01
1.099e+12	7.058e-01
1.677e+12	8.446e-01
2.560e+12	9.366e-01
3.907e+12	9.764e-01
5.964e+12	9.812e-01
9.103e+12	9.726e-01
1.389e+13	9.599e-01
2.121e+13	9.378e-01
3.237e+13	9.058e-01
4.942e+13	8.635e-01
7.543e+13	7.928e-01
1.151e+14	7.096e-01
1.758e+14	5.869e-01
2.683e+14	4.426e-01
4.095e+14	2.921e-01
6.251e+14	1.544e-01
9.541e+14	5.713e-02
1.456e+15	1.227e-02
2.223e+15	9.667e-04
3.393e+15	1.333e-04
5.179e+15	0.000e+00
7.906e+15	0.000e+00
1.207e+16	0.000e+00
1.842e+16	0.000e+00
2.812e+16	0.000e+00
4.292e+16	0.000e+00
6.551e+16	0.000e+00
1.000e+17	0.000e+00
